step,RL_Agent,Mom_0,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
