,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ent_coef,params_gamma,params_learning_rate,params_net_arch,state
0,0,0.0,2026-01-26 19:05:14.926240,2026-01-26 19:05:37.127900,0 days 00:00:22.201660,64,1.0264037324501785e-07,0.9285228367495019,0.0005520734724733134,medium,COMPLETE
1,1,0.0,2026-01-26 19:05:37.128650,2026-01-26 19:05:52.860648,0 days 00:00:15.731998,128,0.04720291978001586,0.931863024013438,0.00021976352344562725,small,COMPLETE
2,2,0.0,2026-01-26 19:05:52.861368,2026-01-26 19:06:14.525356,0 days 00:00:21.663988,64,5.901739224738818e-07,0.9604087923676383,1.8667467993759982e-05,medium,COMPLETE
3,3,0.0,2026-01-26 19:06:14.526013,2026-01-26 19:06:28.053951,0 days 00:00:13.527938,256,2.831690621637093e-07,0.9361513583414364,8.22952002505365e-05,medium,COMPLETE
4,4,8595.897623454035,2026-01-26 19:06:28.054835,2026-01-26 19:06:40.922340,0 days 00:00:12.867505,256,1.0318740525682074e-05,0.9192149219790617,0.0004496146158897981,small,COMPLETE
5,5,0.0,2026-01-26 19:06:40.923090,2026-01-26 19:07:03.343691,0 days 00:00:22.420601,64,3.145437724327996e-07,0.9195262155351623,2.0401969924239025e-05,medium,COMPLETE
6,6,0.0,2026-01-26 19:07:03.344527,2026-01-26 19:07:19.435921,0 days 00:00:16.091394,128,1.6292600649490317e-07,0.9929982562810922,1.110851128281949e-05,medium,COMPLETE
7,7,0.0,2026-01-26 19:07:19.436642,2026-01-26 19:07:32.507073,0 days 00:00:13.070431,256,0.00177544225142515,0.9032161788456622,0.0007339016784966228,small,COMPLETE
8,8,0.0,2026-01-26 19:07:32.507982,2026-01-26 19:07:53.464337,0 days 00:00:20.956355,64,1.1349203451885677e-06,0.9221005417206586,0.0002092453097150538,small,COMPLETE
9,9,0.0,2026-01-26 19:07:53.465092,2026-01-26 19:08:14.432626,0 days 00:00:20.967534,64,2.2637434427794495e-08,0.9230436194690298,1.9130816927870455e-05,small,COMPLETE
10,10,0.0,2026-01-26 19:08:14.433289,2026-01-26 19:08:27.311491,0 days 00:00:12.878202,256,3.0374359946714972e-05,0.9658891763011095,8.276846493440335e-05,small,COMPLETE
11,11,0.0,2026-01-26 19:08:27.312376,2026-01-26 19:08:40.493953,0 days 00:00:13.181577,256,3.655718204668263e-05,0.9014303860827598,0.000936805666514542,medium,COMPLETE
12,12,0.0,2026-01-26 19:08:40.494731,2026-01-26 19:09:02.522835,0 days 00:00:22.028104,64,1.8749646044671152e-05,0.9476684486445257,0.0003784110262160761,medium,COMPLETE
13,13,0.0,2026-01-26 19:09:02.523666,2026-01-26 19:09:15.111157,0 days 00:00:12.587491,256,1.819033097347295e-08,0.9444406064853179,0.0004485545278382565,small,COMPLETE
14,14,0.0,2026-01-26 19:09:15.111923,2026-01-26 19:09:31.324849,0 days 00:00:16.212926,128,4.7345810698054735e-06,0.9135127187578377,0.00018381715828380156,medium,COMPLETE
15,15,-27.03497962377587,2026-01-26 19:09:31.325602,2026-01-26 19:09:53.096852,0 days 00:00:21.771250,64,0.00028617576772604447,0.9824368925159707,0.0005000940971130344,small,COMPLETE
16,16,0.0,2026-01-26 19:09:53.097673,2026-01-26 19:10:06.452407,0 days 00:00:13.354734,256,0.00048759802932861967,0.9334155431357861,4.829844876544327e-05,medium,COMPLETE
17,17,0.0,2026-01-26 19:10:06.453144,2026-01-26 19:10:18.996873,0 days 00:00:12.543729,256,3.4530890411712467e-06,0.9108909263744257,0.00028707360737478517,small,COMPLETE
18,18,0.0,2026-01-26 19:10:18.997581,2026-01-26 19:10:39.813551,0 days 00:00:20.815970,64,8.627898393212988e-08,0.9589775222954602,0.00013023285159617678,small,COMPLETE
19,19,0.0,2026-01-26 19:10:39.814389,2026-01-26 19:10:55.927124,0 days 00:00:16.112735,128,0.030101798755572347,0.9395489989666543,0.0006414925041707649,medium,COMPLETE
